,full_name,team_name,season
365,Gareth Southgate,England,1999
366,Michael Standing,Aston Villa,1999
367,Michael Standing,England,1999
368,Ugo Ehiogu,Aston Villa,1999
369,Ugo Ehiogu,England,1999
370,Jlloyd Samuel,Aston Villa,1999
371,Jlloyd Samuel,Trinidad and Tobago,1999
372,George Boateng,Aston Villa,1999
373,George Boateng,Netherlands,1999
374,Aaron Lescott,Aston Villa,1999
375,Aaron Lescott,England,1999
376,Ian Taylor,Aston Villa,1999
377,Ian Taylor,England,1999
378,John McGrath,Aston Villa,1999
379,John McGrath,Ireland,1999
380,Dion Dublin,Aston Villa,1999
381,Dion Dublin,England,1999
382,Peter Enckelman,Aston Villa,1999
383,Peter Enckelman,Finland,1999
384,Paul Merson,Aston Villa,1999
385,Paul Merson,England,1999
386,Alan Thompson,Aston Villa,1999
387,Alan Thompson,England,1999
388,Julian Joachim,Aston Villa,1999
389,Julian Joachim,England,1999
390,Neil Cutler,Aston Villa,1999
391,Neil Cutler,England,1999
392,Neil Tarrant,Aston Villa,1999
393,Neil Tarrant,Scotland,1999
394,Gareth Barry,Aston Villa,1999
395,Gareth Barry,England,1999
396,Lee Hendrie,Aston Villa,1999
397,Lee Hendrie,England,1999
398,Benny Carbone,Aston Villa,1999
399,Benny Carbone,Italy,1999
400,Richard Walker,Aston Villa,1999
401,Richard Walker,England,1999
402,Darren Byfield,Aston Villa,1999
403,Darren Byfield,Jamaica,1999
404,Darius Vassell,Aston Villa,1999
405,Darius Vassell,England,1999
406,Najwan Ghrayib,Aston Villa,1999
407,Najwan Ghrayib,Israel,1999
408,Jonathan Bewers,Aston Villa,1999
409,Jonathan Bewers,England,1999
410,Colin Calderwood,Aston Villa,1999
411,Colin Calderwood,Scotland,1999
412,Michael Oakes,Aston Villa,1999
413,Michael Oakes,England,1999
414,Stan Collymore,Aston Villa,1999
415,Stan Collymore,England,1999
416,Tommy Jaszczun,Aston Villa,1999
417,Tommy Jaszczun,England,1999
418,Thomas Sörensen,Sunderland,1999
419,Thomas Sörensen,Denmark,1999
420,Danny Dichio,Sunderland,1999
421,Danny Dichio,England,1999
422,Paul Butler,Sunderland,1999
423,Paul Butler,Ireland,1999
424,Kevin Ball,Sunderland,1999
425,Kevin Ball,England,1999
426,Michael Gray,Sunderland,1999
427,Michael Gray,England,1999
428,Jody Craddock,Sunderland,1999
429,Jody Craddock,England,1999
430,Darren Williams,Sunderland,1999
431,Darren Williams,England,1999
432,Nicky Summerbee,Sunderland,1999
433,Nicky Summerbee,England,1999
434,Éric Roy,Sunderland,1999
435,Éric Roy,France,1999
436,Alex Rae,Sunderland,1999
437,Alex Rae,Scotland,1999
438,Gavin McCann,Sunderland,1999
439,Gavin McCann,England,1999
440,Niall Quinn,Sunderland,1999
441,Niall Quinn,Ireland,1999
442,Kevin Phillips,Sunderland,1999
443,Kevin Phillips,England,1999
444,Michael Reddy,Sunderland,1999
445,Michael Reddy,Ireland,1999
446,Chris Makin,Sunderland,1999
447,Chris Makin,England,1999
448,Kevin Kilbane,Sunderland,1999
449,Kevin Kilbane,Ireland,1999
450,Steve Bould,Sunderland,1999
451,Steve Bould,England,1999
452,Thomas Helmer,Sunderland,1999
453,Thomas Helmer,Germany,1999
